Year,Country,Customer Name,Email,Phone Number,Job Requested,Response Time,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2025,Australia,Robert Price MD,lbennett@example.com,0438.412.016,Chatting with Sales Representative,"(32,)",Yes,/event.php,156.44973819199328,Bank Transfer,Pending,3
2022,Germany,Patricia Robinson,katieyates@example.com,0341110371,Prototyping solutions,"(37,)",Yes,/prototype.php,447.86261778989046,Debit Card,Failed,3
2023,Zambia,Sandra Nicholson,denise60@example.com,001-465-621-3334x97307,Scheduled Demo,"(43,)",Yes,/scheduledemo.php,263.7850147194788,PayPal,Resolved,6
2024,Portugal,Samantha Alexander,reedkathleen@example.org,(955)377-9917,Software Assistance,"(58,)",Yes,/scheduledemo.php,340.327763310513,Bank Transfer,Pending,6
2023,Jamaica,Theresa Brown,suttoncorey@example.org,592.974.5168x899,Scheduled Demo,"(27,)",No,/images/events.jpg,358.133757234266,PayPal,Resolved,4
2025,France,Roberta Howell,tylerronald@example.org,+33 (0)1 48 39 49 39,Chatting with Sales Representative,"(15,)",No,/prototype.php,237.04307741127337,PayPal,Resolved,3
2024,USA,Jackie Hale,ian02@example.net,+1-861-605-6692,Inquiring about Events,"(8,)",Yes,/event.php,205.24174734755522,PayPal,Failed,7
2022,China,Mandy Rollins,carrolldennis@example.net,18900852056,Software Assistance,"(46,)",Yes,/images/events.jpg,357.99052764962687,PayPal,Failed,6
2023,Zimbabwe,Madison Franklin,gsawyer@example.net,(861)941-4952x00577,Inquiring about Events,"(59,)",Yes,/images/events.jpg,233.54721640907857,Debit Card,Resolved,6
2022,Zambia,Dr. Jessica Clark,kirk41@example.com,+1-922-616-9840x4545,AI-Powered Virtual Assistant,"(23,)",Yes,/images/events.jpg,237.75447291241397,Credit Card,Resolved,4
2024,Japan,William Smith,carrmicheal@example.net,090-2049-3344,Inquiring about Events,"(14,)",No,/index.html,399.72787745172286,Bank Transfer,Resolved,7
2023,Zimbabwe,Ryan Mcdonald,yujacob@example.org,(784)859-7586x658,Chatting with Sales Representative,"(42,)",No,/index.html,195.266768322396,Credit Card,Pending,6
2023,Brazil,Tara Nguyen,guerrerocandace@example.com,41 4793-4913,AI-Powered Virtual Assistant,"(50,)",No,/index.html,356.722707783994,PayPal,Resolved,3
2025,Zambia,Natalie Montgomery,melissa10@example.net,818-521-6977,Prototyping solutions,"(5,)",Yes,/event.php,338.0332565789239,PayPal,Failed,3
2024,Russia,Kevin Wang,brett52@example.net,+7 770 312 95 40,AI-Powered Virtual Assistant,"(14,)",No,/images/events.jpg,478.64489849233314,Credit Card,Pending,3
2023,Russia,Chad Ray,kathy52@example.com,+78237933471,Chatting with Sales Representative,"(31,)",Yes,/images/events.jpg,296.8617778679328,Bank Transfer,Pending,5
2022,Netherlands,Angela Michael,stevencooke@example.net,459-980-6638x27175,Scheduled Demo,"(32,)",No,/prototype.php,109.76530025836895,Debit Card,Pending,7
2022,Zimbabwe,Gabrielle Long,ryannavarro@example.org,+1-252-418-6321,Software Assistance,"(41,)",No,/event.php,146.5099589239745,Bank Transfer,Resolved,5
2023,Brazil,Debbie Baker,justin10@example.com,+55 31 2873 3797,Inquiring about Events,"(41,)",No,/scheduledemo.php,490.49346967907564,Bank Transfer,Resolved,5
2022,Germany,Megan Richardson,staceyprice@example.com,00647 48664,Prototyping solutions,"(27,)",No,/event.php,467.7536803359608,Bank Transfer,Failed,5
2022,Germany,Scott Ayers,joseph73@example.org,+49(0)3827 10722,Prototyping solutions,"(39,)",No,/scheduledemo.php,333.63414812484746,PayPal,Failed,3
2023,Canada,Amy Maynard,xsullivan@example.net,(109) 556-4772,Chatting with Sales Representative,"(2,)",Yes,/index.html,458.4241175095946,Debit Card,Resolved,5
2022,China,Ann Wilson,robinalexander@example.org,18850829046,AI-Powered Virtual Assistant,"(40,)",No,/images/events.jpg,398.3449769186321,Debit Card,Resolved,5
2023,Russia,Tyler Walker,sandra59@example.com,+7 (931) 207-9287,Inquiring about Events,"(5,)",Yes,/index.html,194.52557309816135,Bank Transfer,Pending,4
2022,Jamaica,Mary Collins,wsullivan@example.com,472-359-0708x94719,Prototyping solutions,"(23,)",Yes,/event.php,217.25916668807645,Bank Transfer,Resolved,4
2024,India,Stephanie Whitehead,leekeith@example.net,0132065695,Inquiring about Events,"(35,)",No,/images/events.jpg,423.28811596176917,Credit Card,Pending,4
2022,France,Henry Burgess,paul85@example.org,+33 (0)3 85 37 89 23,Prototyping solutions,"(8,)",Yes,/scheduledemo.php,133.3890242701429,Debit Card,Resolved,4
2023,Jamaica,Calvin Gamble,davieselizabeth@example.org,308.671.9103,Scheduled Demo,"(35,)",Yes,/event.php,435.64240325281,Credit Card,Resolved,3
2024,Jamaica,Betty Richard,thernandez@example.net,+1-435-364-1154,Chatting with Sales Representative,"(18,)",No,/prototype.php,431.9641210604592,Debit Card,Resolved,7
2023,USA,Brent Martin,randybender@example.net,(579)835-9619x9130,Scheduled Demo,"(10,)",No,/event.php,429.9400906901937,Bank Transfer,Resolved,3
2023,Zimbabwe,Anne Taylor,bartlettaustin@example.net,2567504239,AI-Powered Virtual Assistant,"(15,)",Yes,/index.html,223.12423421608815,Credit Card,Failed,5
2024,India,Stacy Taylor,nsanders@example.org,+911816602256,Chatting with Sales Representative,"(50,)",No,/images/events.jpg,232.8147846511737,Bank Transfer,Resolved,4
2023,India,Joshua Williams,pateljoel@example.com,+913335718650,Scheduled Demo,"(3,)",Yes,/index.html,339.19614871353866,PayPal,Pending,4
2025,Brazil,Alan Stokes,nicolegreen@example.org,+55 81 8156-2841,Inquiring about Events,"(7,)",No,/images/events.jpg,460.3144749530678,Credit Card,Failed,5
2025,UK,Anna Reyes,gomezregina@example.org,(642)904-8471,Inquiring about Events,"(56,)",No,/prototype.php,320.2552203538978,Credit Card,Pending,5
2025,Australia,Matthew Davis,hessashley@example.org,(07)39694619,AI-Powered Virtual Assistant,"(57,)",Yes,/scheduledemo.php,437.10920220169385,Credit Card,Resolved,3
2023,India,Matthew Freeman,beckyjordan@example.net,+918777003046,Inquiring about Events,"(57,)",No,/prototype.php,417.89295791032885,PayPal,Resolved,6
2024,Jamaica,Erin Marks,esutton@example.net,(401)793-2750x9919,AI-Powered Virtual Assistant,"(37,)",Yes,/index.html,486.6985024789483,Credit Card,Pending,6
2023,China,Dr. Brian Dominguez Jr.,lthompson@example.com,18775105477,Prototyping solutions,"(1,)",Yes,/images/events.jpg,460.9689206793774,Debit Card,Pending,3
2024,China,Jennifer Johnson,veronicaberry@example.org,18960450313,Chatting with Sales Representative,"(45,)",Yes,/event.php,347.2486844963747,Bank Transfer,Pending,6
2024,Germany,David Taylor,zacharycampos@example.org,+49(0)5712 95446,Inquiring about Events,"(31,)",No,/scheduledemo.php,147.59765218775507,PayPal,Resolved,5
2025,China,Sara Lowe,logan66@example.net,13719176491,Inquiring about Events,"(16,)",Yes,/scheduledemo.php,433.0875794438711,Bank Transfer,Pending,6
2025,Jamaica,Ashley Wheeler,jennifer92@example.com,549-676-8646,Scheduled Demo,"(19,)",No,/images/events.jpg,389.9484771853843,Bank Transfer,Pending,6
2025,Netherlands,Ryan Burgess,johnsonshawn@example.org,442-413-1022x581,Inquiring about Events,"(2,)",Yes,/event.php,409.1539613265504,PayPal,Failed,3
2023,Zambia,Abigail Newman,vmiller@example.org,788.461.4184,Inquiring about Events,"(18,)",Yes,/scheduledemo.php,257.0077538134797,Debit Card,Resolved,3
2024,Portugal,Crystal Daugherty,brownmegan@example.net,+1-633-244-9427x441,AI-Powered Virtual Assistant,"(47,)",No,/scheduledemo.php,115.0258269196195,Debit Card,Failed,7
2022,UK,Crystal Jones,rebecca64@example.com,001-767-384-7463x24173,Chatting with Sales Representative,"(53,)",No,/event.php,417.4313789385287,Bank Transfer,Failed,3
2024,Canada,Darren Johnson,phyllis81@example.net,477-959-1077,Chatting with Sales Representative,"(1,)",No,/event.php,471.3564311144919,PayPal,Resolved,3
2024,Brazil,Shannon Martin,sanchezkayla@example.org,(071) 1312 8864,Prototyping solutions,"(30,)",No,/index.html,373.20730895196647,PayPal,Failed,5
2024,Germany,Danielle Barnes,brianpittman@example.org,04851 101067,AI-Powered Virtual Assistant,"(7,)",Yes,/scheduledemo.php,203.97947598064775,Bank Transfer,Pending,5
2024,France,Heather Wade,andrewjones@example.org,03 25 08 88 04,Prototyping solutions,"(33,)",Yes,/images/events.jpg,273.38252766430634,PayPal,Pending,4
2025,Spain,Allen Weaver,chloe71@example.com,760.365.3537x4237,Scheduled Demo,"(22,)",No,/images/events.jpg,397.64152064342017,Debit Card,Failed,3
2023,Russia,Amanda Pena,martinvalerie@example.org,85309772330,Inquiring about Events,"(19,)",Yes,/index.html,128.46416558697652,Credit Card,Resolved,5
2025,Zambia,Laura Gonzalez,daniel02@example.org,698-644-8113x88466,AI-Powered Virtual Assistant,"(51,)",No,/prototype.php,140.7051062535104,PayPal,Resolved,6
2024,Jamaica,Samantha Johnson,aaron12@example.org,268.532.1231x41498,Inquiring about Events,"(54,)",No,/prototype.php,380.4174582884487,Credit Card,Resolved,5
2022,UK,Jeffrey Poole,michael65@example.com,001-954-683-6286x64694,Inquiring about Events,"(47,)",No,/images/events.jpg,403.829503475808,Credit Card,Failed,7
2022,UK,Jackie Fisher,tylergreene@example.net,618-781-3033x5474,Software Assistance,"(54,)",No,/images/events.jpg,177.79675934216192,Credit Card,Resolved,7
2023,Netherlands,Dustin Hutchinson,owensjennifer@example.com,9392941045,Prototyping solutions,"(38,)",No,/index.html,200.82360105513644,Credit Card,Resolved,6
2025,UK,Brandi Scott,harperkatherine@example.com,697.675.5152x344,Prototyping solutions,"(12,)",No,/scheduledemo.php,328.23034093753813,Bank Transfer,Resolved,6
2023,China,Brett Forbes,nunderwood@example.net,13965845260,Prototyping solutions,"(30,)",Yes,/event.php,412.7182999329962,Debit Card,Pending,3
2025,Canada,Stacy Wilson,jenniferbrown@example.com,(469) 731-7662,Chatting with Sales Representative,"(13,)",No,/prototype.php,107.96051471839947,Debit Card,Failed,5
2024,Jamaica,Jason Blankenship,zlindsey@example.net,395-374-7639,Scheduled Demo,"(50,)",Yes,/scheduledemo.php,370.54759785796506,PayPal,Pending,6
2023,India,Peter Gordon,vross@example.com,+915356477439,Inquiring about Events,"(44,)",Yes,/scheduledemo.php,480.9508563567276,PayPal,Resolved,3
2025,India,Abigail Patel,barmstrong@example.org,00366713235,AI-Powered Virtual Assistant,"(34,)",No,/event.php,463.2273533815662,Credit Card,Resolved,6
2023,Spain,Alicia Romero,nmathews@example.com,(732)412-3676,AI-Powered Virtual Assistant,"(26,)",No,/scheduledemo.php,452.97606825459496,Credit Card,Failed,3
2025,Brazil,Robert Burns,qhensley@example.net,+55 (011) 2202-0060,Chatting with Sales Representative,"(25,)",No,/scheduledemo.php,203.85098913713898,PayPal,Pending,7
2022,Zambia,Jordan Hoffman,hcaldwell@example.net,+1-412-922-4171x445,Inquiring about Events,"(60,)",No,/prototype.php,350.83925969031327,Credit Card,Pending,6
2024,Portugal,James Lucas,brandonturner@example.com,360-305-9492x157,Chatting with Sales Representative,"(22,)",Yes,/scheduledemo.php,428.1172818940564,PayPal,Resolved,5
2022,India,Patrick Fowler,youngtimothy@example.net,+915716237587,Chatting with Sales Representative,"(21,)",Yes,/images/events.jpg,463.9329418168104,PayPal,Failed,4
2024,Germany,Christy Ramirez,zperez@example.net,(04581) 77803,Software Assistance,"(55,)",Yes,/index.html,336.5033636707402,Credit Card,Resolved,7
2024,Zambia,Mr. Robert Coleman,dakotacarter@example.org,+1-341-519-9762x3764,Inquiring about Events,"(12,)",Yes,/scheduledemo.php,396.56708710242896,PayPal,Failed,4
2024,Netherlands,Jason Steele,davidhancock@example.net,251-805-7627,Inquiring about Events,"(60,)",No,/images/events.jpg,283.20993446775753,PayPal,Pending,7
2023,UK,Kim Riley,hcurry@example.org,531-763-4481x883,Software Assistance,"(47,)",No,/images/events.jpg,161.24775286034563,Debit Card,Pending,3
2024,Portugal,Timothy Poole,charles43@example.net,(373)732-3439x36296,Prototyping solutions,"(9,)",Yes,/event.php,248.45106238896128,Debit Card,Pending,5
2022,USA,Mrs. Brenda Smith MD,zmolina@example.org,+1-884-529-0891x75136,Scheduled Demo,"(60,)",No,/scheduledemo.php,136.2818828625205,PayPal,Pending,4
2022,Jamaica,Tonya Aguilar,charles94@example.com,(266)985-6987x573,Software Assistance,"(59,)",No,/index.html,192.21337482455806,PayPal,Failed,5
2025,Portugal,Frederick Huffman,cookderek@example.org,4727460950,Inquiring about Events,"(11,)",No,/images/events.jpg,182.30843427599984,Debit Card,Pending,7
2022,USA,Christine Richardson,zharper@example.net,001-491-455-7484,AI-Powered Virtual Assistant,"(9,)",No,/event.php,398.86007582265665,Debit Card,Pending,6
2024,Spain,Jesus Owens,juan18@example.com,702-450-6917x60847,AI-Powered Virtual Assistant,"(2,)",Yes,/event.php,244.16784707475432,PayPal,Resolved,6
2024,China,Elizabeth Gray,paynenathan@example.com,13101422974,Chatting with Sales Representative,"(47,)",No,/index.html,330.54780152860576,Bank Transfer,Failed,3
2022,Canada,Robert Wood,jenniferballard@example.com,(437) 842-7368,Software Assistance,"(8,)",Yes,/prototype.php,451.068468690806,Bank Transfer,Failed,5
2025,Australia,Karen Bradley,raymondthomas@example.com,+61.463.771.517,Software Assistance,"(19,)",Yes,/event.php,188.39792752387677,Bank Transfer,Pending,3
2023,Australia,William Leonard,dhall@example.net,1869-5770,AI-Powered Virtual Assistant,"(18,)",No,/event.php,104.20995356086013,PayPal,Pending,4
2023,France,Isabel Griffith,thomas66@example.com,06 95 43 36 75,Prototyping solutions,"(29,)",No,/scheduledemo.php,133.5074249125231,Credit Card,Resolved,7
2025,Portugal,Calvin Simon,alyssayates@example.net,477-599-5470,Chatting with Sales Representative,"(37,)",No,/images/events.jpg,335.1799368993352,Debit Card,Failed,3
2024,UK,Thomas Meyer,dawnoconnor@example.net,611-240-9378x46777,Software Assistance,"(29,)",Yes,/images/events.jpg,265.5525678825129,Debit Card,Failed,7
2022,USA,Pamela Turner,debra13@example.org,(384)312-3856x1541,Scheduled Demo,"(42,)",Yes,/scheduledemo.php,406.0181621919501,Debit Card,Resolved,6
2022,USA,Kimberly Rodgers,icook@example.org,(309)388-1317x136,Inquiring about Events,"(60,)",Yes,/event.php,134.6100044038746,Debit Card,Failed,7
2025,India,Leah Perry,favila@example.net,7916269872,Software Assistance,"(1,)",No,/prototype.php,155.03950584577558,Bank Transfer,Resolved,4
2025,Spain,Kristin White,tgordon@example.net,001-918-595-3864x0318,Chatting with Sales Representative,"(10,)",No,/scheduledemo.php,300.0425765356922,Credit Card,Resolved,7
2022,Canada,Angela Becker,brianamartin@example.com,(265) 644-6880 x299,Software Assistance,"(20,)",Yes,/event.php,485.44561749093475,Debit Card,Resolved,4
2022,Portugal,Joseph Ortega,lrodriguez@example.org,+1-526-442-6224x4085,AI-Powered Virtual Assistant,"(2,)",Yes,/images/events.jpg,121.30904540888454,Debit Card,Failed,6
2025,Zimbabwe,Mrs. Ashley Mack,montgomerychristopher@example.com,467-774-9888,AI-Powered Virtual Assistant,"(11,)",Yes,/prototype.php,432.8527553788476,Credit Card,Pending,3
2024,India,Jacqueline Acosta,stacy91@example.com,03095339792,AI-Powered Virtual Assistant,"(16,)",No,/prototype.php,484.30327078044246,Credit Card,Resolved,6
2024,Netherlands,Mark Parrish,gregory73@example.net,+1-692-893-8977x0140,Prototyping solutions,"(12,)",No,/images/events.jpg,469.68348659926437,Bank Transfer,Failed,7
2022,Portugal,Crystal Walsh,idavenport@example.org,(601)491-5623,Prototyping solutions,"(32,)",Yes,/images/events.jpg,297.25707794975426,Credit Card,Resolved,3
2025,France,Michele Robinson,acox@example.net,0223510413,Software Assistance,"(7,)",No,/event.php,370.1056575055044,Bank Transfer,Pending,3
2024,Zambia,Greg Kelley,jasonwilkerson@example.com,754-789-6784x50415,Prototyping solutions,"(45,)",No,/images/events.jpg,459.43533880868,Debit Card,Resolved,7
2023,Spain,Misty Le,rodriguezsteven@example.net,001-225-895-7376x285,Prototyping solutions,"(42,)",No,/index.html,377.5200843537042,PayPal,Failed,5
2024,UK,Laurie Silva,josephcharles@example.net,348.490.7941x0572,Inquiring about Events,"(3,)",Yes,/scheduledemo.php,462.33797183337424,Debit Card,Pending,7
2022,Zimbabwe,Erin Lucas,townsendjoseph@example.org,001-951-979-2477x4177,AI-Powered Virtual Assistant,"(18,)",Yes,/prototype.php,104.70769608392132,Bank Transfer,Pending,6
2023,Australia,Ryan Grimes,mendozaerik@example.net,59970435,Scheduled Demo,"(31,)",Yes,/prototype.php,478.4313191109812,Bank Transfer,Failed,4
2023,Russia,Michael Sutton,kenneth14@example.com,8 (815) 977-87-12,AI-Powered Virtual Assistant,"(7,)",No,/prototype.php,476.1510844997382,Debit Card,Resolved,6
2022,UK,Chelsea Barnes DDS,hughesmiranda@example.org,5082083736,Prototyping solutions,"(37,)",Yes,/prototype.php,274.3865211634636,Bank Transfer,Resolved,6
2023,Netherlands,John Melton,bradley84@example.org,451.735.9363,Prototyping solutions,"(9,)",Yes,/index.html,205.2088788833397,Debit Card,Resolved,4
2025,Canada,Crystal Perez,fmendoza@example.net,401.411.7620,AI-Powered Virtual Assistant,"(1,)",Yes,/prototype.php,207.89259241903224,Credit Card,Resolved,3
2023,Spain,Jeffrey Hernandez,richardlisa@example.org,(261)784-4464,AI-Powered Virtual Assistant,"(59,)",No,/images/events.jpg,365.2323969538372,Bank Transfer,Resolved,7
2023,Spain,Luis Crawford,randall55@example.org,001-629-787-1663,Prototyping solutions,"(50,)",No,/index.html,401.1102362574555,Bank Transfer,Resolved,7
2025,Netherlands,Julie Freeman,lisa81@example.org,001-842-345-9190x26606,Chatting with Sales Representative,"(8,)",Yes,/prototype.php,336.78722153359524,Bank Transfer,Failed,3
2023,Germany,Laura Martinez,timothy62@example.net,(02162) 35247,Inquiring about Events,"(60,)",No,/prototype.php,402.6229583771903,PayPal,Failed,5
2023,Portugal,Sherry Velez,michaelho@example.net,001-775-332-0174x632,Software Assistance,"(18,)",No,/index.html,204.5470196966196,Debit Card,Pending,3
2025,Brazil,Christopher Ferguson,scurtis@example.org,+55 61 1295-5455,Chatting with Sales Representative,"(41,)",Yes,/event.php,249.6126382721361,Debit Card,Resolved,3
2024,Germany,Katherine Adams,nicholas96@example.net,04012 67722,Inquiring about Events,"(59,)",No,/event.php,467.99392666417884,PayPal,Pending,6
2024,UK,Laura Wade,david59@example.org,514.636.7744,Chatting with Sales Representative,"(20,)",No,/scheduledemo.php,499.271342754961,Debit Card,Resolved,4
2022,Germany,Alan Reyes,zpowell@example.org,+49 (0) 2015 471215,Prototyping solutions,"(55,)",Yes,/prototype.php,217.59949221076127,Bank Transfer,Resolved,4
2022,Zimbabwe,Carla Rogers,kenneth66@example.net,001-498-212-2294x5593,Prototyping solutions,"(43,)",Yes,/event.php,428.1445672571023,Debit Card,Failed,6
2022,USA,Alexander Jones,patriciamartinez@example.com,567-677-4000,Scheduled Demo,"(60,)",Yes,/prototype.php,361.4927663679373,Credit Card,Failed,5
2022,Australia,Amanda Jones,rhester@example.com,+61 459 861 906,Chatting with Sales Representative,"(28,)",Yes,/prototype.php,190.970101695458,Debit Card,Pending,3
2024,Japan,Richard Fuller,peter62@example.com,070-6991-9821,AI-Powered Virtual Assistant,"(3,)",Yes,/prototype.php,432.03328209208524,PayPal,Failed,6
2023,Brazil,Isaiah Bright,matthewsimon@example.net,+55 31 4542 5647,Chatting with Sales Representative,"(29,)",Yes,/images/events.jpg,450.6162945147697,Debit Card,Pending,5
2023,USA,Travis Martinez,joel61@example.org,+1-450-716-1782x78479,Inquiring about Events,"(6,)",Yes,/prototype.php,499.8875650829079,Debit Card,Resolved,7
2024,Portugal,Allison Villarreal,megan71@example.org,(454)891-7834x62260,AI-Powered Virtual Assistant,"(38,)",No,/event.php,400.7459884867108,Debit Card,Pending,5
2023,Brazil,Amber Navarro,johnkelley@example.org,(081) 6964-1603,Prototyping solutions,"(49,)",No,/prototype.php,317.84480651432693,Credit Card,Pending,7
2022,USA,Mitchell Kim,xhood@example.net,(502)293-4672,AI-Powered Virtual Assistant,"(31,)",No,/event.php,139.83600026802128,Credit Card,Pending,3
2024,Canada,Anthony Davis,elizabeth12@example.com,1 (491) 716-6561,Scheduled Demo,"(27,)",Yes,/prototype.php,204.87423616069785,PayPal,Resolved,3
2025,Jamaica,Kayla Gonzalez,michellemitchell@example.net,310-649-6280,Prototyping solutions,"(36,)",No,/scheduledemo.php,231.99893452165261,Credit Card,Failed,4
2023,Russia,Mr. Scott Gonzalez,brittney73@example.org,8 (553) 415-1603,Scheduled Demo,"(1,)",No,/prototype.php,351.43290264888856,Debit Card,Failed,4
2022,Zimbabwe,John Jones,kinggina@example.org,+1-731-638-0134x56266,AI-Powered Virtual Assistant,"(25,)",No,/prototype.php,101.93833722578685,Debit Card,Failed,5
2025,Canada,Joan Gordon,paul82@example.net,656.641.9529,Scheduled Demo,"(21,)",No,/scheduledemo.php,148.21773917581984,Debit Card,Failed,6
2024,Brazil,Stephanie Johnson,juliaoconnell@example.org,(041) 2782-1995,Chatting with Sales Representative,"(2,)",No,/event.php,442.7285837463746,PayPal,Resolved,3
2023,Japan,Jamie Khan,jodi81@example.com,070-7167-2470,AI-Powered Virtual Assistant,"(54,)",Yes,/images/events.jpg,192.07829578099162,Bank Transfer,Resolved,7
2022,Russia,Jeremy Ward,sheliabutler@example.net,+7 013 414 05 99,Software Assistance,"(16,)",No,/scheduledemo.php,170.20931474734743,Bank Transfer,Resolved,5
2025,Zambia,Maria Ball,kurt69@example.com,+1-916-973-8437x0409,AI-Powered Virtual Assistant,"(22,)",No,/images/events.jpg,394.95990576812676,PayPal,Resolved,6
2024,Australia,David Garcia,patriciahendrix@example.com,7239-5186,Software Assistance,"(39,)",No,/scheduledemo.php,320.08199603605516,Bank Transfer,Resolved,3
2022,Portugal,Kathleen Jimenez,starkandrew@example.net,448.764.1590,Scheduled Demo,"(57,)",Yes,/index.html,379.0929636572306,PayPal,Pending,5
2025,Brazil,Andrew James,grace32@example.com,0800-873-7330,AI-Powered Virtual Assistant,"(29,)",Yes,/index.html,260.2024881262794,Bank Transfer,Pending,3
